
16:54; temperature;-10
16:54; wind_speed;28
16:54; pressure;730

16:54; temperature;-15
16:54; wind_speed;29
16:54; pressure;742

16:54; temperature;-9
16:54; wind_speed;29
16:54; pressure;725
17:08; temperature;-18
17:08; wind_speed;8
17:08; pressure;731
17:08; temperature;-10
17:08; wind_speed;28
17:08; pressure;741
18:16; temperature;-8
18:16; wind_speed;23
18:16; pressure;721
18:16; temperature;-9
18:16; wind_speed;21
18:16; pressure;724
18:17; temperature;-5
18:17; wind_speed;1
18:17; pressure;735
18:17; temperature;-8
18:17; wind_speed;9
18:17; pressure;722
